"","Country","year","LE","id","smoking_female","smoking_male"
"Myanmar","Myanmar",2005,63.5,154,13.6,46.5
"Namibia","Namibia",2005,51.9,155,10.9,38.6
"Nauru","Nauru",2005,NA,156,52.4,46.1
"Nepal","Nepal",2005,67.3,157,26.4,34.8
"Netherlands","Netherlands",2005,79.5,158,30.3,38.3
"New Zealand","New Zealand",2005,79.8,161,27.5,29.7
"Nicaragua","Nicaragua",2005,74.6,163,NA,NA
"Niger","Niger",2005,57.3,164,NA,NA
"Nigeria","Nigeria",2005,56.9,165,1.2,13
"Niue","Niue",2005,NA,166,NA,NA
"Norway","Norway",2005,80.1,170,30.4,33.6
"Oman","Oman",2005,74.3,171,1.3,24.7
"Pakistan","Pakistan",2005,62.6,172,6.6,35.4
"Palau","Palau",2005,NA,173,9.7,38.1
"Panama","Panama",2005,77.2,174,NA,NA
"Papua New Guinea","Papua New Guinea",2005,57.3,175,NA,NA
"Paraguay","Paraguay",2005,73.5,176,14.8,33
"Peru","Peru",2005,76.2,177,NA,NA
"Philippines","Philippines",2005,69,178,9.8,42
"Poland","Poland",2005,75,180,27.2,43.9
"Portugal","Portugal",2005,78.4,181,31,40.6
"Qatar","Qatar",2005,78.8,183,NA,NA
"Romania","Romania",2005,72.6,185,24.5,40.6
"Russia","Russia",2005,64.8,186,26.5,70.1
"Rwanda","Rwanda",2005,57.3,187,NA,NA
"Samoa","Samoa",2005,70.8,195,23.4,58.3
"Sao Tome and Principe","Sao Tome and Principe",2005,66.2,197,10.6,23.2
"Saudi Arabia","Saudi Arabia",2005,77.2,198,3.6,25.6
"Senegal","Senegal",2005,62.8,199,1.5,19.8
"Serbia","Serbia",2005,75.8,200,42.3,42.3
"Seychelles","Seychelles",2005,71.9,203,7,35.2
"Sierra Leone","Sierra Leone",2005,54.4,204,NA,NA
"Singapore","Singapore",2005,80.2,205,NA,NA
"Slovak Republic","Slovak Republic",2005,74.3,206,20.1,41.6
"Slovenia","Slovenia",2005,77.2,207,21.1,31.8
"Solomon Islands","Solomon Islands",2005,62,208,NA,NA
"Somalia","Somalia",2005,56.2,209,NA,NA
"South Africa","South Africa",2005,53.1,211,9.1,27.5
"Spain","Spain",2005,80.4,213,30.9,36.4
"Sri Lanka","Sri Lanka",2005,74.2,214,2.6,30.2
"Sudan","Sudan",2005,66.3,215,NA,NA
"Suriname","Suriname",2005,68.5,216,NA,NA
"Swaziland","Swaziland",2005,43.5,218,3.2,14.6
"Sweden","Sweden",2005,80.5,219,24.5,19.6
"Switzerland","Switzerland",2005,81.2,220,22.2,30.7
"Syria","Syria",2005,75.8,221,NA,44
"Tajikistan","Tajikistan",2005,68.8,223,NA,NA
"Tanzania","Tanzania",2005,57.2,224,4.3,24.8
"Thailand","Thailand",2005,72.8,225,3.4,39.8
"Timor-Leste","Timor-Leste",2005,67,226,NA,NA
"Togo","Togo",2005,59,227,NA,NA
"Tonga","Tonga",2005,69.5,229,15.8,61.8
"Trinidad and Tobago","Trinidad and Tobago",2005,70.9,231,7.6,36.4
"Tunisia","Tunisia",2005,76,232,1.9,51
"Turkey","Turkey",2005,73.8,233,19.2,51.6
"Turkmenistan","Turkmenistan",2005,64.8,234,NA,NA
"Tuvalu","Tuvalu",2005,NA,236,NA,NA
"Uganda","Uganda",2005,54.5,237,3.2,20.9
"Ukraine","Ukraine",2005,67.2,238,NA,NA
"United Arab Emirates","United Arab Emirates",2005,75.3,239,2.6,26.1
"United Kingdom","United Kingdom",2005,79.1,240,34.7,36.7
"United States","United States",2005,77.7,241,21.5,26.3
"Uruguay","Uruguay",2005,75.4,242,28,37.1
"Uzbekistan","Uzbekistan",2005,68.1,244,1.2,24.2
"Vanuatu","Vanuatu",2005,63.1,246,8.1,49.1
"Venezuela","Venezuela",2005,75,247,27,32.5
"Vietnam","Vietnam",2005,74.6,251,2.5,45.7
"Zambia","Zambia",2005,47.9,257,5,21.7
"Zimbabwe","Zimbabwe",2005,47.7,258,4.4,25.5
